날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-01-01,전국,-3.4,-9.3,1.6
2021-01-02,전국,-2.8,-6.9,1.4
2021-01-03,전국,-3.3,-7.7,1.1
2021-01-04,전국,-2,-8.1,3.9
2021-01-05,전국,-2.2,-7.4,1.9
2021-01-06,전국,-5.5,-10.8,-0.7
2021-01-07,전국,-10.7,-14.8,-3.8
2021-01-08,전국,-12.3,-16.8,-7.3
2021-01-09,전국,-10.3,-16,-4.5
2021-01-10,전국,-7.1,-13.9,-0.7
2021-01-11,전국,-5.6,-9.8,-1.4
2021-01-12,전국,-3,-9.5,2.6
2021-01-13,전국,3,-4.2,9.7
2021-01-14,전국,2.9,-2.9,10.2
2021-01-15,전국,5.9,-1.5,13.1
2021-01-16,전국,-0.6,-4.7,4.5
2021-01-17,전국,-3.7,-7.9,0.3
2021-01-18,전국,-2,-6.5,3.4
2021-01-19,전국,-5.1,-10.7,1.2
2021-01-20,전국,-0.9,-8.9,8.3
2021-01-21,전국,4.6,-1.7,10.1
2021-01-22,전국,6.8,4.5,9.8
2021-01-23,전국,7.4,4.8,10.6
2021-01-24,전국,6.4,2.1,11.7
2021-01-25,전국,5.9,0.9,12.7
2021-01-26,전국,4.8,2.3,7.2
2021-01-27,전국,3.2,-0.7,8.5
2021-01-28,전국,-0.8,-6.2,6.4
2021-01-29,전국,-5.7,-9,-1.4
2021-01-30,전국,-0.6,-8.4,7
2021-01-31,전국,3.2,-5.1,10.7
2021-02-01,전국,6.7,2.3,10.7
2021-02-02,전국,-2.2,-5.1,3.6
2021-02-03,전국,-2,-7.9,3.2
2021-02-04,전국,-0.3,-4.6,4.1
2021-02-05,전국,1.2,-5.5,7.4
2021-02-06,전국,5.2,-1.3,11.3
2021-02-07,전국,5.5,0.1,11.3
2021-02-08,전국,-0.9,-4.1,3.1
2021-02-09,전국,-0.4,-6.3,6.1
2021-02-10,전국,2.4,-4.1,9.2
2021-02-11,전국,4.4,-1.5,11.3
2021-02-12,전국,5.9,-0.3,15.1
2021-02-13,전국,6.4,-1.5,16.6
2021-02-14,전국,8.2,2.4,14.3
2021-02-15,전국,3.3,-2.4,8.5
2021-02-16,전국,-2.1,-5.9,2.7
2021-02-17,전국,-6.1,-8,-3.3
2021-02-18,전국,-4.5,-9,0
2021-02-19,전국,2.3,-6.7,9.8
2021-02-20,전국,9.4,2.9,16.4
2021-02-21,전국,12.1,3.2,20.9
2021-02-22,전국,9.9,3,17.6
2021-02-23,전국,2.6,-2,8.3
2021-02-24,전국,3,-2.4,10.1
2021-02-25,전국,3.9,-0.8,8.3
2021-02-26,전국,7.3,1.7,13.2
2021-02-27,전국,6.9,2.5,11.4
2021-02-28,전국,7,0.8,12.3
2021-03-01,전국,7.8,2.8,12.9
2021-03-02,전국,2.4,-0.9,6.2
2021-03-03,전국,3.1,-2.9,9.3
2021-03-04,전국,5.6,0.8,10.4
2021-03-05,전국,8.6,2.3,16.9
2021-03-06,전국,5.9,2.6,11.4
2021-03-07,전국,5.5,2.4,10.2
2021-03-08,전국,5.9,0,13.2
2021-03-09,전국,7.1,1.6,13.6
2021-03-10,전국,7.7,0.7,15.6
2021-03-11,전국,9.2,1.1,17.2
2021-03-12,전국,8.3,6.4,10.8
2021-03-13,전국,8.2,2.8,14.5
2021-03-14,전국,8.2,2.6,14.7
2021-03-15,전국,10.5,2.1,17.2
2021-03-16,전국,11,4.7,16.8
2021-03-17,전국,8.3,0.8,16.6
2021-03-18,전국,9.8,2.8,17
2021-03-19,전국,11.6,7.4,16.9
2021-03-20,전국,8.8,6.7,11
2021-03-21,전국,6.8,4,10.5
2021-03-22,전국,6.5,1.5,11.7
2021-03-23,전국,9,1,16.7
2021-03-24,전국,10.1,3.2,17
2021-03-25,전국,11.7,4.3,19.8
2021-03-26,전국,12.5,4.1,21.4
2021-03-27,전국,12,6.7,16
2021-03-28,전국,11.8,9.1,15.6
2021-03-29,전국,12.2,8,17.1
2021-03-30,전국,11.5,5,19.3
2021-03-31,전국,12.3,3.1,21.5
2021-04-01,전국,13.9,6.9,19.9
2021-04-02,전국,15.9,11,21.2
2021-04-03,전국,14.3,11.7,17.2
2021-04-04,전국,10.1,7,13.8
2021-04-05,전국,9.7,3.3,16.8
2021-04-06,전국,11.7,4.2,19.3
2021-04-07,전국,13.2,5.6,20.7
2021-04-08,전국,11.9,5.9,18.5
2021-04-09,전국,10.2,3.7,16.7
2021-04-10,전국,10.5,3.6,17.5
2021-04-11,전국,12.9,4.3,20.7
2021-04-12,전국,12.5,10,15.9
2021-04-13,전국,11.8,6.3,16.6
2021-04-14,전국,9,3.5,15.3
2021-04-15,전국,10.1,2.4,17.6
2021-04-16,전국,11.7,5.5,17.2
2021-04-17,전국,10.3,5.5,16.3
2021-04-18,전국,10.3,5.2,16.1
2021-04-19,전국,13,4,21
2021-04-20,전국,15.2,6.5,24.3
2021-04-21,전국,17.4,8.4,26.4
2021-04-22,전국,18.9,13.1,25.6
2021-04-23,전국,17.3,14.1,21.2
2021-04-24,전국,16.1,11,22.4
2021-04-25,전국,14.9,8.6,21.4
2021-04-26,전국,13.7,7,20.2
2021-04-27,전국,14.6,8.8,19.9
2021-04-28,전국,15.9,11.4,21.1
2021-04-29,전국,14.7,10.4,20.1
2021-04-30,전국,13,9.4,17.4
2021-05-01,전국,10.2,8.1,13.4
2021-05-02,전국,11.9,7.1,18.1
2021-05-03,전국,14,6,21.4
2021-05-04,전국,15.7,10.8,19.6
2021-05-05,전국,15.1,9.3,20.4
2021-05-06,전국,14.8,5.5,22.5
2021-05-07,전국,15,9.4,21.1
2021-05-08,전국,15.4,7,22.7
2021-05-09,전국,16,9.2,22.7
2021-05-10,전국,13.2,9.8,16.5
2021-05-11,전국,15.9,11.1,21
2021-05-12,전국,18.1,11.6,24.9
2021-05-13,전국,19.6,12.1,27.3
2021-05-14,전국,20.8,14.1,27.7
2021-05-15,전국,20,17.4,23.3
2021-05-16,전국,18.8,15.6,21.6
2021-05-17,전국,15.2,13.6,17.5
2021-05-18,전국,16.9,13.2,22.5
2021-05-19,전국,19.6,12.9,26.9
2021-05-20,전국,16.4,14.4,19.4
2021-05-21,전국,15.6,13.5,18.5
2021-05-22,전국,18.5,12.2,25.3
2021-05-23,전국,20.2,13,27.2
2021-05-24,전국,19.2,14.6,24.5
2021-05-25,전국,15.5,11.1,21.1
2021-05-26,전국,16.7,10.3,22.9
2021-05-27,전국,16,12.4,20.9
2021-05-28,전국,15.6,10.7,21.9
2021-05-29,전국,17.3,12.3,23.1
2021-05-30,전국,18.7,11.3,26
2021-05-31,전국,19.3,15,25
2021-06-01,전국,20.4,14.8,26.2
2021-06-02,전국,21.8,16.3,28.2
